osm_type,osm_id,name,brand,address,city,state,country,latitude,longitude
way,440415319,D1,D1,,,,CO,6.2434132,-75.5940576
way,461758390,D1,D1,,,,CO,4.6811484,-74.1432583
way,467674924,D1,,Calle 80 29-16,Pereira,,CO,4.796233,-75.7416398
way,478121568,D1,,Calle 57,Bogotá D.C.,,CO,4.6450506,-74.072919
way,527383584,D1,,Avenida Carrera 58,,,CO,4.7219938,-74.0668591
way,528133787,D1,,Calle 119 12-36,Bogotá D.C.,,CO,4.6987857,-74.039408
way,528194919,D1,D1,Avenida Calle 100,,,CO,4.6886752,-74.0623707
way,528251634,D1,D1,Calle 82,,,CO,4.6684216,-74.0577763
way,528463409,D1,D1,Carrera 72A,,,CO,4.6871244,-74.0957073
way,529801612,Tiendas D1,D1,,,,CO,4.7104349,-74.0739014
way,530131609,Tiendas D1,D1,Avenida Carrera 24,,,CO,4.6637032,-74.0663137
way,530407249,D1,D1,Calle 140,,,CO,4.7219354,-74.0432158
way,531348970,D1,D1,Calle 140,,,CO,4.7209172,-74.0395304
way,531825839,,D1,Avenida Calle 26 32A-60,,,CO,4.6300734,-74.0824784
way,532016461,D1,,Carrera 102A,,,CO,4.731,-74.0993888
