osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon,source,street_address,city,page_url
8353845829,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7031216,-74.0921416,osm,,,
8384768517,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.5795163,-74.0800672,osm,,,
8402778021,node,D1,D1,,,,,,,,,,,10.3914,-73.0291472,osm,,,
8425380811,node,D1,D1,,,,,,,,,,,2.4384414,-76.6050223,osm,,,
8454866117,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.708537,-74.1368942,osm,,,
8459243617,node,D1,D1,,,,,,,110231,Mo-Su 08:00-21:00,,https://d1.com.co/,4.6502746,-74.0556787,osm,,,
8483291152,node,Tiendas D1,,,,,,,,,,,,2.5599179,-72.6395777,osm,,,
8522507691,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7443027,-74.1286284,osm,,,
8532707771,node,D1,D1,,,,,,,,,,,6.230831,-75.5926793,osm,,,
8560990418,node,Tienda D1,,,,Carrera 3,21-69,La Dorada,,175030,Mo-Su 09:00-21:00,,,5.459825,-74.6657508,osm,,,
8592763146,node,D1,,,,,,,,,,,,2.4463162,-76.6116296,osm,,,
8622709967,node,D1,D1,,,,,,,,,,,7.0901383,-73.1095258,osm,,,
8626983346,node,Tiendas D1,,,,,,,,,,,,5.0731719,-75.5250451,osm,,,
8629943217,node,Tiendas D1,,,,Calle 115,4-3,,,,,,http://tiendasd1.com,11.1494737,-74.2212152,osm,,,
8699723064,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7437952,-74.1408587,osm,,,
8712519667,node,D1,D1,d1,,hatogrande,,cajica,,,Mo-Su 09:00-21:00,,,4.9189168,-74.0142058,osm,,,
8712687255,node,Tiendas D1,,,,Calle 20A,,"Santa Barbara, Pasto",,,Mo-Su 08:00-20:00,,,1.2008412,-77.2611744,osm,,,
8713475390,node,D1,D1,Koba Colombia,,Carrera 4,,Guachetá,,,Mo-Su 09:00-21:00,,,5.3847029,-73.6866566,osm,,,
8723079229,node,D1,D1,,,,,,,,,,,3.8778242,-77.0211105,osm,,,
8729507776,node,Tiendas D1,D1,,,,,,,,,,,1.3841733,-77.1562908,osm,,,
8739860714,node,D1,D1,,,,,,,,Mo-Su 07:00-20:00,,,7.9188212,-72.4867207,osm,,,
8750477641,node,TIENDAS D1,,,,,,,,,,,,7.0615421,-73.1067322,osm,,,
8780106618,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7059699,-74.093427,osm,,,
8787353619,node,Tiendas D1,,,,,,,,,,,,4.8785816,-72.8961764,osm,,,
8870955670,node,Tiendas D1,,,,,,,,,,,https://d1.com.co/,4.4280542,-75.7196432,osm,,,
8910225528,node,D1,D1,,,Avenida 19 de Enero,,Armenia,,,,,,4.5678333,-75.6510939,osm,,,
8929348005,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7209327,-74.0450283,osm,,,
8972737127,node,Tiendas D1,,,,,,,,,,,,3.5843342,-76.4963759,osm,,,
9007484374,node,D1,D1,,,,,,,,,,,4.5451261,-75.6628288,osm,,,
9081190287,node,Tiendas D1,,,,,,,,,,,,6.2734341,-75.5534125,osm,,,
9081194965,node,Tiendas D1,,,,,,,,,,,,6.2704615,-75.5567261,osm,,,
9092381518,node,D1,,,,,,,,,,,,6.2333219,-75.1602975,osm,,,
9198270000,node,Tienda D1,,,,,,,,,,,,6.2526135,-75.5967893,osm,,,
9198830345,node,D1,D1,,,,,,,,,,,6.2581639,-75.5980764,osm,,,
9198830346,node,D1,D1,,,,,,,,,,,6.2576875,-75.5978207,osm,,,
9211417458,node,Tiendas D1,,,,,,,,,,,,6.2607888,-75.5887478,osm,,,
9216335387,node,D1,D1,Tiendas D1,,Carrera 4,3-75,Fómeque,,251640,,,,4.4851524,-73.8937858,osm,,,
9234224824,node,D1,D1,,,,,,,,,,,5.3280264,-72.4076366,osm,,,
9234319300,node,D1,,,,,,,,,,,,3.4028516,-76.5407811,osm,,,
9254137052,node,D1,D1,,,,,,,,,,,8.2672989,-73.3645755,osm,,,
9293819714,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7168338,-74.0297009,osm,,,
9309094346,node,D1,D1,,,,,,,,,,,7.8891187,-75.669781,osm,,,
9318978189,node,D1,,,,,,,,,"Mo-Su,PH 08:00-21:00",,,4.6379407,-75.5706228,osm,,,
9364061730,node,Tiendas D1,,,,Carrera 35,,,,,,,,7.1111825,-73.1087961,osm,,,
9371400817,node,Tienda D1,,,,Carrera 7,7,,,,Mo-Su 07:00-21:00,,,5.7895464,-75.7856827,osm,,,
9382716617,node,Tienda D1,,,,Circular 3,,,,,Mo-Su 08:00-21:00,,,6.2454266,-75.5916222,osm,,,
9402649642,node,D1,,,,,,,,,,,,3.4342272,-76.4952548,osm,,,
9402653409,node,D1,,,,,,,,,,,,3.4582847,-76.4828651,osm,,,
9402662000,node,D1,,,,,,,,,,,,3.2312868,-76.5095153,osm,,,
